Publication Title,Publication Year,Journal Impact Factor
Journal of Adolescence,2003,0.788
Journal of Adolescence,2002,0.921
Journal of Adolescence,2001,0.825
Journal of Adolescence,2000,0.656
Journal of Adolescence,1999,0.519
Journal of Adolescence,1998,0.402
Journal of Adolescence,1997,0.449
Journal of Abnormal Psychology,2016,4.133
Journal of Abnormal Psychology,2015,5.538
Journal of Abnormal Psychology,2014,5.153
Journal of Abnormal Psychology,2013,4.974
Journal of Abnormal Psychology,2012,4.646
Journal of Abnormal Psychology,2011,4.857
Journal of Abnormal Psychology,2010,5.235
Journal of Abnormal Psychology,2009,4.515
Journal of Abnormal Psychology,2008,4.446
Journal of Abnormal Psychology,2007,4.684
Journal of Abnormal Psychology,2006,4.372
Journal of Abnormal Psychology,2005,4.383
Journal of Abnormal Psychology,2004,3.281
Journal of Abnormal Psychology,2003,3.351
Journal of Abnormal Psychology,2002,3.215
Journal of Abnormal Psychology,2001,2.566
Journal of Abnormal Psychology,2000,3.352
Journal of Abnormal Psychology,1999,3.174
Journal of Abnormal Psychology,1998,3.077
Journal of Abnormal Psychology,1997,2.678
Journal of Abnormal Child Psychology,2016,3.615
Journal of Abnormal Child Psychology,2015,3.579
Journal of Abnormal Child Psychology,2014,3.481
Journal of Abnormal Child Psychology,2013,3.167
Journal of Abnormal Child Psychology,2012,3.005
Journal of Abnormal Child Psychology,2011,3.088
Journal of Abnormal Child Psychology,2010,3.564
Journal of Abnormal Child Psychology,2009,2.966
Journal of Abnormal Child Psychology,2008,2.694
Journal of Abnormal Child Psychology,2007,2.619
Journal of Abnormal Child Psychology,2006,2.311
Journal of Abnormal Child Psychology,2005,2.317
Journal of Abnormal Child Psychology,2004,2.714
Journal of Abnormal Child Psychology,2003,2.011
Journal of Abnormal Child Psychology,2002,2.549
Journal of Abnormal Child Psychology,2001,2.353
Journal of Abnormal Child Psychology,2000,1.917
Journal of Abnormal Child Psychology,1999,1.907
Journal of Abnormal Child Psychology,1998,1.82
Journal of Abnormal Child Psychology,1997,1.689
JAMA: The Journal of the American Medical Association,2016,44.405
JAMA: The Journal of the American Medical Association,2015,37.684
JAMA: The Journal of the American Medical Association,2014,35.289
JAMA: The Journal of the American Medical Association,2013,30.387
JAMA: The Journal of the American Medical Association,2012,29.978
JAMA: The Journal of the American Medical Association,2011,30.026
JAMA: The Journal of the American Medical Association,2010,30.011
JAMA: The Journal of the American Medical Association,2009,28.899
JAMA: The Journal of the American Medical Association,2008,31.718
JAMA: The Journal of the American Medical Association,2007,25.547
JAMA: The Journal of the American Medical Association,2006,23.175
JAMA: The Journal of the American Medical Association,2005,23.494
JAMA: The Journal of the American Medical Association,2004,24.831
JAMA: The Journal of the American Medical Association,2003,21.455
JAMA: The Journal of the American Medical Association,2002,16.586
JAMA: The Journal of the American Medical Association,2001,17.569
JAMA: The Journal of the American Medical Association,2000,15.402
JAMA: The Journal of the American Medical Association,1999,11.435
JAMA: The Journal of the American Medical Association,1998,9.522
JAMA: The Journal of the American Medical Association,1997,9.258
JAMA Pediatrics,2016,10.251
JAMA Pediatrics,2015,9.528
JAMA Pediatrics,2014,7.148
International Journal of Environmental Research and Public Health,2016,2.101
International Journal of Environmental Research and Public Health,2015,2.035
International Journal of Environmental Research and Public Health,2014,2.063
International Journal of Environmental Research and Public Health,2013,1.993
International Journal of Environmental Research and Public Health,2012,1.998
International Journal of Environmental Research and Public Health,2011,1.605
Intellectual and Developmental Disabilities,2016,1.625
Intellectual and Developmental Disabilities,2015,1.545
Intellectual and Developmental Disabilities,2014,1.488
Intellectual and Developmental Disabilities,2013,1.529
Intellectual and Developmental Disabilities,2012,1.137
Intellectual and Developmental Disabilities,2011,1.438
Intellectual and Developmental Disabilities,2010,1.327
Intellectual and Developmental Disabilities,2009,1.131
Intellectual and Developmental Disabilities,2008,1
Infant Mental Health Journal,2005,0.886
Infant Mental Health Journal,2004,0.915
Infant Mental Health Journal,2003,1.203
Infant Mental Health Journal,2002,1.241
Infant Mental Health Journal,2001,1.137
Infant Mental Health Journal,2000,0.842
Infant Mental Health Journal,1999,0.283
Infant Mental Health Journal,1998,0.345
Infant Mental Health Journal,1997,0.786
Human Nature,2016,2.661
Human Nature,2015,1.895
Human Nature,2014,2.5
Human Nature,2013,1.826
Human Nature,2012,1.814
Human Nature,2011,1.955
Human Nature,2010,1.915
Human Nature,2009,1.6
Human Nature,2008,1.408
Human Nature,2007,1.5
Human Nature,2006,1.079
Human Nature,2005,0.974
Human Nature,2004,1.974
Human Nature,2003,1.184
Human Nature,2002,1.139
Human Nature,2001,0.676
Human Nature,2000,1.379
Human Nature,1999,1.786
Human Nature,1998,1.29
Human Nature,1997,1.405
Health Psychology,2016,3.458
Health Psychology,2015,3.611
Health Psychology,2014,3.59
Health Psychology,2013,3.954
Health Psychology,2012,3.832
Health Psychology,2011,3.873
Health Psychology,2010,3.982
Health Psychology,2009,3.462
Health Psychology,2008,3.652
Health Psychology,2007,2.966
Health Psychology,2006,3.693
Health Psychology,2005,3.513
Field Methods,2016,1.346
Field Methods,2015,1.1
Field Methods,2014,0.872
Field Methods,2013,0.875
Field Methods,2012,0.551
Field Methods,2011,1.111
Field Methods,2010,1.186
Field Methods,2009,1.093
Field Methods,2008,1.4
Family Relations,2016,1.426
Family Relations,2015,0.912
Family Relations,2014,1.024
Family Relations,2013,0.862
Family Relations,2012,0.978
Family Relations,2011,0.68
Family Relations,2010,1.216
Family Relations,2009,1.318
Family Relations,2008,1.322
Family Relations,2007,0.871
Family Relations,2006,0.731
Family Relations,2005,0.687
Family Relations,2004,0.684
Family Relations,2003,0.808
Family Relations,2002,0.545
Family Relations,2001,0.591
Family Relations,2000,0.859
Family Relations,1999,0.888
Family Relations,1998,0.66
Family Relations,1997,0.519
Family Planning Perspectives,2003,3.241
Family Planning Perspectives,2002,2.182
Family Planning Perspectives,2001,1.991
Family Planning Perspectives,2000,2.013
Family Planning Perspectives,1999,1.704
Family Planning Perspectives,1998,1.013
Family Planning Perspectives,1997,1.067
Families in Society: The Journal of Contemporary Social Services,2016,0.444
Families in Society: The Journal of Contemporary Social Services,2015,0.758
Families in Society: The Journal of Contemporary Social Services,2014,0.657
Families in Society: The Journal of Contemporary Social Services,2013,0.298
Families in Society: The Journal of Contemporary Social Services,2012,0.442
Families in Society: The Journal of Contemporary Social Services,2011,0.286
Families in Society: The Journal of Contemporary Social Services,2010,0.294
Families in Society: The Journal of Contemporary Social Services,2009,0.317
Families in Society: The Journal of Contemporary Social Services,2008,0.211
Families in Society: The Journal of Contemporary Social Services,2007,0.273
Families in Society: The Journal of Contemporary Social Services,2006,0.368
Families in Society: The Journal of Contemporary Social Services,2005,0.271
Evaluation Review,2016,1.293
Evaluation Review,2015,0.838
Evaluation Review,2014,0.6
Evaluation Review,2013,0.6
Evaluation Review,2012,0.714
Evaluation Review,2011,1.196
Evaluation Review,2010,0.84
Evaluation Review,2009,1.16
Evaluation Review,2008,1.051
Evaluation Review,2007,0.935
Evaluation Review,2006,1
Evaluation Review,2005,1.132
Evaluation Review,2004,0.736
Evaluation Review,2003,0.686
Evaluation Review,2002,0.673
Evaluation Review,2001,0.392
Evaluation Review,2000,0.895
Evaluation Review,1999,0.889
Evaluation Review,1998,0.757
Evaluation Review,1997,0.754
Evaluation and Program Planning,2016,1.137
Evaluation and Program Planning,2015,1
Evaluation and Program Planning,2014,0.969
Evaluation and Program Planning,2013,1.096
Evaluation and Program Planning,2012,1.295
Evaluation and Program Planning,2011,0.901
Evaluation and Program Planning,2010,0.711
Evaluation and Program Planning,2009,0.888
Evaluation and Program Planning,2008,0.735
Evaluation and Program Planning,2007,0.6
Evaluation and Program Planning,2006,0.679
Evaluation and Program Planning,2005,0.838
Evaluation and Program Planning,2004,0.713
Evaluation and Program Planning,2003,0.488
Evaluation and Program Planning,2002,0.488
Evaluation and Program Planning,2001,0.321
Evaluation and Program Planning,2000,0.253
Evaluation and Program Planning,1999,0.233
Evaluation and Program Planning,1998,0.312
Evaluation and Program Planning,1997,0.328
Economic Inquiry,2016,0.922
Economic Inquiry,2015,1.091
Economic Inquiry,2014,1.015
Economic Inquiry,2013,1.028
Economic Inquiry,2012,1.09
Economic Inquiry,2011,0.984
Economic Inquiry,2010,0.796
Economic Inquiry,2009,0.962
Economic Inquiry,2008,0.759
Economic Inquiry,2007,0.535
Economic Inquiry,2006,0.457
Economic Inquiry,2005,0.721
Economic Inquiry,2004,0.584
Economic Inquiry,2003,0.301
Economic Inquiry,2002,0.392
Economic Inquiry,2001,0.5
Economic Inquiry,2000,0.626
Economic Inquiry,1999,0.603
Economic Inquiry,1998,0.554
Economic Inquiry,1997,0.516
Developmental Psychology,2016,3.228
Developmental Psychology,2015,3.116
Developmental Psychology,2014,4.141
Developmental Psychology,2013,3.782
Developmental Psychology,2012,2.976
Developmental Psychology,2011,3.214
Developmental Psychology,2010,3.412
Developmental Psychology,2009,3.555
Developmental Psychology,2008,3.425
Developmental Psychology,2007,3.038
Developmental Psychology,2006,3.556
Developmental Psychology,2005,3.421
Developmental Psychology,2004,3.418
Developmental Psychology,2003,2.533
Developmental Psychology,2002,2.496
Developmental Psychology,2001,2.449
Developmental Psychology,2000,2.044
Developmental Psychology,1999,2.239
Developmental Psychology,1998,1.995
Developmental Psychology,1997,2.263
Developmental Medicine & Child Neurology,2016,3.116
Developmental Medicine & Child Neurology,2015,3.615
Developmental Medicine & Child Neurology,2014,3.51
Developmental Medicine & Child Neurology,2013,3.292
Developmental Medicine & Child Neurology,2012,2.776
Developmental Medicine & Child Neurology,2011,2.918
Developmental Medicine & Child Neurology,2010,3.264
Developmental Medicine & Child Neurology,2009,3.019
Developmental Medicine & Child Neurology,2008,2.561
Developmental Medicine & Child Neurology,2007,2.433
Developmental Medicine & Child Neurology,2006,2.008
Developmental Medicine & Child Neurology,2005,1.79
Developmental Medicine & Child Neurology,2004,2.083
Developmental Medicine & Child Neurology,2003,1.898
Developmental Medicine & Child Neurology,2002,2.107
Developmental Medicine & Child Neurology,2001,1.988
Developmental Medicine & Child Neurology,2000,1.78
Developmental Medicine & Child Neurology,1999,1.471
Developmental Medicine & Child Neurology,1998,1.316
Developmental Medicine & Child Neurology,1997,1.563
Development and Psychopathology,2016,3.244
Development and Psychopathology,2015,3.646
Development and Psychopathology,2014,3.24
Development and Psychopathology,2013,4.891
Development and Psychopathology,2012,4.926
Development and Psychopathology,2011,4.397
Development and Psychopathology,2010,4.961
Development and Psychopathology,2009,4.949
Development and Psychopathology,2008,5.483
Development and Psychopathology,2007,4.374
Development and Psychopathology,2006,2.709
Development and Psychopathology,2005,2.485
Development and Psychopathology,2004,3.158
Development and Psychopathology,2003,4.378
Development and Psychopathology,2002,4.121
Development and Psychopathology,2001,3.011
Development and Psychopathology,2000,3.079
Development and Psychopathology,1999,2.894
Development and Psychopathology,1998,2.633
Development and Psychopathology,1997,3.192
Demography,2016,2.802
Demography,2015,2.8
Demography,2014,2.616
Demography,2013,2.631
Demography,2012,2.305
Demography,2011,1.931
Demography,2010,2.465
Demography,2009,2.391
Demography,2008,2.321
Demography,2007,1.737
Demography,2006,3.039
Demography,2005,2.408
Demography,2004,1.923
Demography,2003,1.78
Demography,2002,2.06
Demography,2001,1.549
Demography,2000,1.807
Demography,1999,1.582
Demography,1998,1.933
Demography,1997,1.493
CyberPsychology and Behavior,2011,2.71
CyberPsychology and Behavior,2010,1.803
CyberPsychology and Behavior,2009,1.591
CyberPsychology and Behavior,2008,1.295
CyberPsychology and Behavior,2007,1.368
CyberPsychology and Behavior,2006,1.061
CyberPsychology and Behavior,2005,1.028
CyberPsychology and Behavior,2004,0.874
CyberPsychology and Behavior,2003,0.896
CyberPsychology and Behavior,2002,0.646
Current Psychiatry Reports,2016,3.746
Current Psychiatry Reports,2015,2.858
Current Psychiatry Reports,2014,3.238
Current Psychiatry Reports,2013,3.054
Current Psychiatry Reports,2012,3.23
Current Psychiatry Reports,2011,2.711
Current Problems in Pediatric and Adolescent Health Care,2016,2.327
Current Problems in Pediatric and Adolescent Health Care,2015,2.021
Current Problems in Pediatric and Adolescent Health Care,2014,1.632
Current Problems in Pediatric and Adolescent Health Care,2013,1.56
Current Problems in Pediatric and Adolescent Health Care,2012,1.561
Criminology,2016,5.019
Criminology,2015,4.778
Criminology,2014,3.098
Criminology,2013,3.06
Criminology,2012,3.268
Criminology,2011,2.467
Criminology,2010,2.658
Criminology,2009,2.603
Criminology,2008,2.069
Criminology,2007,2.344
Criminology,2006,2.06
Criminology,2005,2.013
Criminology,2004,1.65
Criminology,2003,2.424
Criminology,2002,2.38
Criminology,2001,1.671
Criminology,2000,2.393
Criminology,1999,1.873
Criminology,1998,1.768
Criminology,1997,1.686
Criminal Justice and Behavior,2016,2.099
Criminal Justice and Behavior,2015,1.383
Criminal Justice and Behavior,2014,1.528
Criminal Justice and Behavior,2013,1.662
Criminal Justice and Behavior,2012,1.86
Criminal Justice and Behavior,2011,1.708
Criminal Justice and Behavior,2010,1.59
Criminal Justice and Behavior,2009,1.69
Criminal Justice and Behavior,2008,1.496
Criminal Justice and Behavior,2007,1.672
Criminal Justice and Behavior,2006,1.25
Criminal Justice and Behavior,2005,0.967
Criminal Justice and Behavior,2004,1.656
Criminal Justice and Behavior,2003,1.754
Criminal Justice and Behavior,2002,1.565
Criminal Justice and Behavior,2001,1.368
Criminal Justice and Behavior,2000,0.979
Criminal Justice and Behavior,1999,0.74
Criminal Justice and Behavior,1998,0.821
Criminal Justice and Behavior,1997,0.738
Crime and Justice,2016,2.684
Crime and Justice,2015,4.941
Crime and Justice,2014,1.529
Crime and Justice,2013,0.684
Crime and Justice,2012,1.75
Crime and Justice,2011,2.188
Crime and Justice,2010,3.562
Crime and Justice,2009,1.387
Crime and Justice,2008,1.034
Crime and Justice,2006,1.481
Crime and Justice,2005,2.588
Crime and Justice,2004,1.923
Crime and Justice,2003,0.923
Crime and Justice,2002,1.292
Crime and Justice,2001,0.773
Crime and Justice,2000,0.719
Crime and Justice,1999,0.735
Crime and Justice,1998,0.522
Contemporary Economic Policy,2016,0.887
Contemporary Economic Policy,2015,0.602
Contemporary Economic Policy,2014,0.478
Contemporary Economic Policy,2013,0.482
Contemporary Economic Policy,2012,0.671
Contemporary Economic Policy,2011,0.595
Contemporary Economic Policy,2010,0.523
Contemporary Economic Policy,2009,0.659
Contemporary Economic Policy,2008,0.456
Contemporary Economic Policy,2007,0.521
Contemporary Economic Policy,2006,0.444
Contemporary Economic Policy,2005,0.524
Contemporary Economic Policy,2004,0.295
Contemporary Economic Policy,2003,0.359
Contemporary Economic Policy,2002,0.482
Contemporary Economic Policy,2001,0.303
Contemporary Economic Policy,2000,0.398
Contemporary Economic Policy,1999,0.341
Contemporary Economic Policy,1998,0.707
Contemporary Economic Policy,1997,0.337
Computers in Human Behavior,2016,3.435
Computers in Human Behavior,2015,2.88
Computers in Human Behavior,2014,2.694
Computers in Human Behavior,2013,2.273
Computers in Human Behavior,2012,2.067
Computers in Human Behavior,2011,2.293
Computers in Human Behavior,2010,1.865
Computers in Human Behavior,2009,1.677
Computers in Human Behavior,2008,1.767
Computers in Human Behavior,2007,1.344
Computers in Human Behavior,2006,0.808
Computers in Human Behavior,2005,1.116
Computers in Human Behavior,2004,1.03
Computers in Human Behavior,2003,0.805
Computers in Human Behavior,2002,1.108
Computers in Human Behavior,2001,0.727
Computers in Human Behavior,2000,0.333
Computers in Human Behavior,1999,0.29
Computers in Human Behavior,1998,0.214
Computers in Human Behavior,1997,0.228
Families in Society,2016,0.444
Families in Society,2015,0.758
Families in Society,2014,0.657
Families in Society,2013,0.298
Families in Society,2012,0.442
Families in Society,2011,0.286
Families in Society,2010,0.294
Families in Society,2009,0.317
Families in Society,2008,0.211
Families in Society,2007,0.273
Families in Society,2006,0.368
Families in Society,2005,0.271
Evaluation Review,2016,1.293
Evaluation Review,2015,0.838
Evaluation Review,2014,0.6
Evaluation Review,2013,0.6
Evaluation Review,2012,0.714
Evaluation Review,2011,1.196
Evaluation Review,2010,0.84
Evaluation Review,2009,1.16
Evaluation Review,2008,1.051
Evaluation Review,2007,0.935
Evaluation Review,2006,1
Evaluation Review,2005,1.132
Evaluation Review,2004,0.736
Evaluation Review,2003,0.686
Evaluation Review,2002,0.673
Evaluation Review,2001,0.392
Evaluation Review,2000,0.895
Evaluation Review,1999,0.889
Evaluation Review,1998,0.757
Evaluation Review,1997,0.754
Evaluation and Program Planning,2016,1.137
Evaluation and Program Planning,2015,1
Evaluation and Program Planning,2014,0.969
Evaluation and Program Planning,2013,1.096
Evaluation and Program Planning,2012,1.295
Evaluation and Program Planning,2011,0.901
Evaluation and Program Planning,2010,0.711
Evaluation and Program Planning,2009,0.888
Evaluation and Program Planning,2008,0.735
Evaluation and Program Planning,2007,0.6
Evaluation and Program Planning,2006,0.679
Evaluation and Program Planning,2005,0.838
Evaluation and Program Planning,2004,0.713
Evaluation and Program Planning,2003,0.488
Evaluation and Program Planning,2002,0.488
Evaluation and Program Planning,2001,0.321
Evaluation and Program Planning,2000,0.253
Evaluation and Program Planning,1999,0.233
Evaluation and Program Planning,1998,0.312
Evaluation and Program Planning,1997,0.328
Economic Inquiry,2016,0.922
Economic Inquiry,2015,1.091
Economic Inquiry,2014,1.015
Economic Inquiry,2013,1.028
Economic Inquiry,2012,1.09
Economic Inquiry,2011,0.984
Economic Inquiry,2010,0.796
Economic Inquiry,2009,0.962
Economic Inquiry,2008,0.759
Economic Inquiry,2007,0.535
Economic Inquiry,2006,0.457
Economic Inquiry,2005,0.721
Economic Inquiry,2004,0.584
Economic Inquiry,2003,0.301
Economic Inquiry,2002,0.392
Economic Inquiry,2001,0.5
Economic Inquiry,2000,0.626
Economic Inquiry,1999,0.603
Economic Inquiry,1998,0.554
Economic Inquiry,1997,0.516
Clinical Child Psychology and Psychiatry,2016,1.145
Clinical Child Psychology and Psychiatry,2015,1.192
Clinical Child Psychology and Psychiatry,2014,1.025
Children & Society,2016,0.802
Children & Society,2015,0.808
Children & Society,2014,0.833
Children & Society,2013,0.684
Children & Society,2012,0.886
Children & Society,2011,0.73
Children & Society,2010,0.875
"Child: Care, Health and Development",2016,1.445
"Child: Care, Health and Development",2015,1.754
"Child: Care, Health and Development",2014,1.692
"Child: Care, Health and Development",2013,1.832
"Child: Care, Health and Development",2012,1.7
"Child: Care, Health and Development",2011,1.201
"Child: Care, Health and Development",2010,1.308
"Child: Care, Health and Development",2009,1.137
"Child: Care, Health and Development",2008,1.154
"Child: Care, Health and Development",2007,1.396
"Child: Care, Health and Development",2006,0.877
"Child: Care, Health and Development",2005,0.789
"Child: Care, Health and Development",2004,0.74
"Child: Care, Health and Development",2003,0.614
"Child: Care, Health and Development",2002,0.583
"Child: Care, Health and Development",2001,0.435
"Child: Care, Health and Development",2000,0.636
"Child: Care, Health and Development",1999,0.765
"Child: Care, Health and Development",1998,0.433
"Child: Care, Health and Development",1997,0.449
Child Welfare,2011,0.589
Child Welfare,2010,0.657
Child Welfare,2009,0.667
Child Welfare,2008,0.419
Child Welfare,2007,0.379
Child Welfare,2006,0.5
Child Welfare,2005,0.355
Child Welfare,2004,0.278
Child Welfare,2003,0.474
Child Welfare,2002,0.514
Child Welfare,2001,0.389
Child Welfare,2000,0.712
Child Welfare,1999,0.451
Child Welfare,1998,0.671
Child Welfare,1997,0.366
Child Psychiatry & Human Development,2005,1.024
Child Psychiatry & Human Development,2004,0.65
Child Psychiatry & Human Development,2003,0.561
Child Psychiatry & Human Development,2002,0.725
Child Psychiatry & Human Development,2001,0.625
Child Psychiatry & Human Development,2000,0.422
Child Psychiatry & Human Development,1999,0.378
Child Psychiatry & Human Development,1998,0.452
Child Psychiatry & Human Development,1997,0.488
Child Maltreatment,2016,2.278
Child Maltreatment,2015,2.292
Child Maltreatment,2014,2.373
Child Maltreatment,2013,2.706
Child Maltreatment,2012,2.589
Child Maltreatment,2011,2.77
Child Maltreatment,2010,1.984
Child Maltreatment,2009,2.613
Child Maltreatment,2008,1.828
Child Maltreatment,2007,2.352
Child Maltreatment,2006,1.345
Child Indicators Research,2016,1.194
Child Indicators Research,2015,1.011
Child Indicators Research,2014,1.162
Child Indicators Research,2013,1.038
Child Indicators Research,2012,0.864
Child Indicators Research,2011,0.958
Child Indicators Research,2010,0.75
Child Indicators Research,2009,0.263
Child Development,2016,4.195
Child Development,2015,3.791
Child Development,2014,4.061
Child Development,2013,4.235
Child Development,2012,4.915
Child Development,2011,4.718
Child Development,2010,3.77
Child Development,2009,3.631
Child Development,2008,3.821
Child Development,2007,3.382
Child Development,2006,3.893
Child Development,2005,3.043
Child Development,2004,3.278
Child Development,2003,3.324
Child Development,2002,3.272
Child Development,2001,2.583
Child Development,2000,2.768
Child Development,1999,3.15
Child Development,1998,2.625
Child Development,1997,2.067
Child and Family Social Work,2016,1.394
Child and Family Social Work,2015,1.064
Child and Family Social Work,2014,1.086
Child and Family Social Work,2013,0.824
Child and Family Social Work,2012,0.831
Child and Family Social Work,2011,0.933
Child and Family Social Work,2010,0.854
Child and Family Social Work,2009,0.952
Child Abuse Review,2016,1.543
Child Abuse Review,2015,0.941
Child Abuse Review,2014,0.841
Child Abuse Review,2013,0.787
Child Abuse Review,2012,0.698
Child Abuse Review,2011,0.556
Child Abuse Review,2010,1.463
Child Abuse and Neglect,2016,2.293
Child Abuse and Neglect,2015,2.397
Child Abuse and Neglect,2014,2.574
Child Abuse and Neglect,2013,2.135
Child Abuse and Neglect,2012,1.61
Child Abuse and Neglect,2011,2.471
Child Abuse and Neglect,2010,1.945
Child Abuse and Neglect,2009,2.339
Child Abuse and Neglect,2008,2
Child Abuse and Neglect,2007,1.506
Child Abuse and Neglect,2006,1.623
Child Abuse and Neglect,2005,1.627
Child Abuse and Neglect,2004,1.116
Child Abuse and Neglect,2003,0.977
Child Abuse and Neglect,2002,0.795
Child Abuse and Neglect,2001,1.209
Child Abuse and Neglect,2000,1.072
Child Abuse and Neglect,1999,1.092
Child Abuse and Neglect,1998,1.372
Child Abuse and Neglect,1997,1.038
Child & Youth Care Forum,2016,1.054
Child & Youth Care Forum,2015,1
Child & Youth Care Forum,2014,1.086
Child & Youth Care Forum,2013,0.924
Child & Youth Care Forum,2012,1.115
Child & Youth Care Forum,2011,1.245
Child & Youth Care Forum,2010,1
Child & Family Social Work,2016,1.394
Child & Family Social Work,2015,1.064
Child & Family Social Work,2014,1.086
Child & Family Social Work,2013,0.824
Child & Family Social Work,2012,0.831
Child & Family Social Work,2011,0.933
Child & Family Social Work,2010,0.854
Child & Family Social Work,2009,0.952
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2016,0.404
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2015,0.647
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2014,1.015
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2013,0.851
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2012,0.662
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2011,0.458
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2010,0.736
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2009,0.519
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2006,0.808
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2005,0.345
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2004,0.279
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2003,0.351
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2002,0.273
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2001,0.236
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,2000,0.245
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,1999,0.196
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,1998,0.297
Canadian Journal of Behavioural Science/Revue canadienne des Sciences du comportement,1997,0.348
Biochimica Et Biophysica Acta,1999,2.59
Biochimica Et Biophysica Acta,1998,2.478
Biochimica Et Biophysica Acta,1997,2.411
Biochemistry,2016,2.938
Biochemistry,2015,2.876
Biochemistry,2014,3.015
Biochemistry,2013,3.194
Biochemistry,2012,3.377
Biochemistry,2011,3.422
Biochemistry,2010,3.226
Biochemistry,2009,3.226
Biochemistry,2008,3.379
Biochemistry,2007,3.368
Biochemistry,2006,3.633
Biochemistry,2005,3.848
Biochemistry,2004,4.008
Biochemistry,2003,3.922
Biochemistry,2002,4.064
Biochemistry,2001,4.114
Biochemistry,2000,4.221
Biochemistry,1999,4.493
Biochemistry,1998,4.628
Biochemistry,1997,4.572
Biochemical Pharmacology,2016,4.581
Biochemical Pharmacology,2015,5.091
Biochemical Pharmacology,2014,5.009
Biochemical Pharmacology,2013,4.65
Biochemical Pharmacology,2012,4.576
Biochemical Pharmacology,2011,4.705
Biochemical Pharmacology,2010,4.889
Biochemical Pharmacology,2009,4.254
Biochemical Pharmacology,2008,4.838
Biochemical Pharmacology,2007,4.006
Biochemical Pharmacology,2006,3.581
Biochemical Pharmacology,2005,3.617
Biochemical Pharmacology,2004,3.436
Biochemical Pharmacology,2003,2.993
Biochemical Pharmacology,2002,3.542
Biochemical Pharmacology,2001,3.34
Biochemical Pharmacology,2000,2.975
Biochemical Pharmacology,1999,2.755
Biochemical Pharmacology,1998,2.719
Biochemical Pharmacology,1997,2.443
Biochemical and Biophysical Research Communications,2016,2.466
Biochemical and Biophysical Research Communications,2015,2.371
Biochemical and Biophysical Research Communications,2014,2.297
Biochemical and Biophysical Research Communications,2013,2.281
Biochemical and Biophysical Research Communications,2012,2.406
Biochemical and Biophysical Research Communications,2011,2.484
Biochemical and Biophysical Research Communications,2010,2.595
Biochemical and Biophysical Research Communications,2009,2.548
Biochemical and Biophysical Research Communications,2008,2.648
Biochemical and Biophysical Research Communications,2007,2.749
Biochemical and Biophysical Research Communications,2006,2.855
Biochemical and Biophysical Research Communications,2005,3
Biochemical and Biophysical Research Communications,2004,2.904
Biochemical and Biophysical Research Communications,2003,2.836
Biochemical and Biophysical Research Communications,2002,2.935
Biochemical and Biophysical Research Communications,2001,2.946
Biochemical and Biophysical Research Communications,2000,3.055
Biochemical and Biophysical Research Communications,1999,3.161
Biochemical and Biophysical Research Communications,1998,2.78
Biochemical and Biophysical Research Communications,1997,2.671
Archives of Pediatrics and Adolescent Medicine,2014,5.731
Archives of Pediatrics and Adolescent Medicine,2013,4.252
Archives of Pediatrics and Adolescent Medicine,2012,4.282
Archives of Pediatrics and Adolescent Medicine,2011,4.14
Archives of Pediatrics and Adolescent Medicine,2010,4.029
Archives of Pediatrics and Adolescent Medicine,2009,4.726
Archives of Pediatrics and Adolescent Medicine,2008,4.32
Archives of Pediatrics and Adolescent Medicine,2007,3.725
Archives of Pediatrics and Adolescent Medicine,2006,3.565
Archives of Pediatrics and Adolescent Medicine,2005,3.566
Archives of Pediatrics and Adolescent Medicine,2004,2.893
Archives of Pediatrics and Adolescent Medicine,2003,2.19
Archives of Pediatrics and Adolescent Medicine,2002,2.053
Archives of Pediatrics and Adolescent Medicine,2001,2.089
Archives of Pediatrics and Adolescent Medicine,2000,1.701
Archives of Pediatrics and Adolescent Medicine,1999,1.549
Archives of Pediatrics and Adolescent Medicine,1998,1.53
Archives of Pediatrics and Adolescent Medicine,1997,1.338
Archives of General Psychiatry,2014,14.48
Archives of General Psychiatry,2013,13.747
Archives of General Psychiatry,2012,13.772
Archives of General Psychiatry,2011,12.016
Archives of General Psychiatry,2010,10.782
Archives of General Psychiatry,2009,12.257
Archives of General Psychiatry,2008,14.273
Archives of General Psychiatry,2007,15.976
Archives of General Psychiatry,2006,13.936
Archives of General Psychiatry,2005,12.642
Archives of General Psychiatry,2004,11.207
